id,label,followers,genres,popularity,image_url
6tvDaHOPNWfkc9Q8IghqSR,Walls,146280,,58,https://i.scdn.co/image/ab6761610000e5ebd064bfc1ee33e1fcd49ada64
1cMiNxpdh0mP5WFnPvr4xf,Parkineos,76416,"tekno, techno, hardcore techno, hardcore",48,https://i.scdn.co/image/ab6761610000e5ebb7f22c7299f8d203b57579cd
7D62OQfwvslnxJn9DkZm2F,Pole.,182312,,55,https://i.scdn.co/image/ab6761610000e5eb8f5b61e3b06b4f6ec3766913
67TDVqPf5B8RQzCg2yZpBk,Lionware,49061,,41,https://i.scdn.co/image/ab6761610000e5ebf135d528942a3a04fd2ae0c4
5LjJKCDSZ8bXY6OLXrzNZ4,Nico Flow,97,,25,https://i.scdn.co/image/ab6761610000e5ebb3513865d9f278975a45786b
6qHDnHoUlA5AhDNg7AHRS9,Luisaker,62788,,38,https://i.scdn.co/image/ab6761610000e5eb237caf741f8d3a3d22e5a03e
0b4SMSHPAmdiHnMQG9uG7r,CRONO$,5265,,19,https://i.scdn.co/image/ab6761610000e5ebf06b5961c1a7ec83ab8357ac
7hIqJfRYGBWWT1Qxu6Cpd2,Andy Rivera,3045870,"reggaeton, popular colombian music, trap latino",66,https://i.scdn.co/image/ab6761610000e5ebf638f8db9136610f8f2e8b29
4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,1674528,"latin pop, latin",68,https://i.scdn.co/image/ab6761610000e5eb4d3bdb12e5ac3ef6dbbefdfa
2gKYxTUOqw9aPt7ljMwSHT,Orishas,507304,"latin hip hop, latin alternative, latin, son cubano",55,https://i.scdn.co/image/ab6761610000e5eb7e923c09c4a58aeafdeb30ab
3MHaV05u0io8fQbZ2XPtlC,Prince Royce,8327739,"bachata, latin, bachata pop",75,https://i.scdn.co/image/ab6761610000e5eb63565a99444e6c03695bf8f7
6HTUcOExehqydqa7C3usAa,Abel Pintos,3563678,"folklore argentino, cuarteto",68,https://i.scdn.co/image/ab6761610000e5ebed3c0fe69973844abf831b51
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,11499568,"latin pop, latin",78,https://i.scdn.co/image/ab6761610000e5eb4fa1405802a42c665b0f2dd1
2URqJkDiySO0FRiAUq75FV,Rachid Taha,184413,"raï, gnawa",47,https://i.scdn.co/image/ab6761610000e5eb05a5ecbc3588ddaf8d74902a
4ByxGModIR7nXk4ZaVFdfO,Pitingo,141203,"flamenco, flamenco pop",49,https://i.scdn.co/image/ab6761610000e5eb3d5b4c88d621f63911bb3682
0YSFc6ZjqSYIZnHQGBzBcF,Paulo Gonzo,72194,fado,39,https://i.scdn.co/image/ab6761610000e5eb419a91c44615738317695474
39yVoqm6sYFvvqF1RciUVf,Carlos Rivera,4807214,latin pop,72,https://i.scdn.co/image/ab6761610000e5eb8c023a13a5a28bc29cc30ed4
4NEYQeEYBUjfaXgDQGvFvu,Franco De Vita,5877697,latin pop,68,https://i.scdn.co/image/ab6761610000e5eb21fb9c2d53162906b9c23035
5ZqnEfVdEGmoPxtELhN7ai,Estopa,2243092,"flamenco, flamenco pop",69,https://i.scdn.co/image/ab6761610000e5ebfc35d983d1fd3469013ee1ab
4uoz4FUMvpeyGClFTTDBsD,Ricardo Montaner,6652117,latin pop,68,https://i.scdn.co/image/ab6761610000e5eb91339e0fcfee3aebb5306406
3heR1it0slFXjaa7E62zpw,Maldita Nerea,610387,,54,https://i.scdn.co/image/ab6761610000e5eb501a7e548e27006fb0292e1c
0hCyHc3Gi8pDKjyK20qp1t,Salvador Beltran,12655,flamenco pop,19,https://i.scdn.co/image/f863aecd85989e23bbdf034c4786f3970ecae41d
0wjmKODfAPpZUNgUfL9VIi,Paco Fernandez,2632,,17,https://i.scdn.co/image/ab67616d0000b273f0418ee79a3cef9fbb9dd48d
41qil2VaGbD194gaEcmmyx,Will Smith,1065434,,67,https://i.scdn.co/image/ab6761610000e5ebed2ac32344707185c1a7d148
07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,83348,"medieval, soundtrack",58,https://i.scdn.co/image/ab6761610000e5ebf1e54d1ce1d7cc63560ecc11
0c173mlxpT3dSFRgMO8XPh,Big Sean,11389040,,76,https://i.scdn.co/image/ab6761610000e5eb3d5b14b45d4c3d10d23b03ff
4RtafAAxXiQtMI9yZs5DCv,OBanga,287,,36,
4MoCPQEZqegox8Ng6SUGrb,PM Artist Sessions Project,640,classical,25,https://i.scdn.co/image/ab67616d0000b2730472733b924bb5bffa468799
1eUSEIGd3eCEUOeLFgJACg,Jaden Bojsen,21952,,65,https://i.scdn.co/image/ab6761610000e5eba960c78bbb399e74c4b55d4c
